,ID,race,class,guild,lvl_start,lvl_end,evolution,time_hours,lvl_speed,n_guilds,n_maps,n_city,n_pvp,map_beginner,map_low,map_medium,map_advanced,behaviour
0,7,Orc,Hunter,282,54,71,17,109.16666666666669,3.737404580152672,2,48,12.833333333333336,0.0,5.166666666666667,17.833333333333332,62.5,26.66666666666667,explorer
1,9,Orc,Hunter,79,70,70,0,456.5,0.0,2,79,27.83333333333333,92.33333333333331,33.666666666666664,64.66666666666667,84.0,43.33333333333334,killer
2,10,Orc,Hunter,-1,29,61,32,112.33333333333331,6.836795252225518,1,41,15.833333333333336,0.0,9.333333333333334,50.83333333333334,36.16666666666666,0.16666666666666666,achiever
3,19,Orc,Rogue,65,69,70,1,500.16666666666674,0.04798400533155615,3,47,12.666666666666664,180.5,31.83333333333333,33.5,157.83333333333334,149.83333333333334,killer
4,21,Orc,Hunter,205,70,70,0,252.16666666666663,0.0,2,79,12.166666666666664,21.166666666666668,26.83333333333333,35.666666666666664,86.33333333333331,69.66666666666667,explorer
5,22,Orc,Warrior,5,62,63,1,10.333333333333334,2.32258064516129,2,5,0.16666666666666666,0.0,0.0,0.0,9.666666666666666,2.5,explorer
6,23,Orc,Hunter,101,70,71,1,356.66666666666674,0.06728971962616821,2,65,9.166666666666666,141.33333333333334,41.5,40.16666666666666,71.66666666666667,72.66666666666667,killer
7,27,Orc,Hunter,251,60,65,5,51.66666666666666,2.3225806451612905,2,18,2.833333333333333,0.0,0.3333333333333333,1.0,44.33333333333334,24.66666666666667,explorer
8,28,Orc,Hunter,62,70,80,10,374.0,0.6417112299465241,2,51,70.0,195.8333333333333,1.8333333333333333,2.833333333333333,10.166666666666666,74.0,killer
9,29,Orc,Hunter,97,60,61,1,5.666666666666668,4.235294117647058,1,9,1.0,0.0,0.16666666666666666,0.6666666666666666,4.333333333333333,0.0,explorer
10,31,Orc,Shaman,62,70,70,0,452.0,0.0,3,65,80.5,10.166666666666666,30.0,37.66666666666666,58.5,42.833333333333336,explorer
11,32,Orc,Shaman,-1,60,61,1,11.333333333333336,2.117647058823529,1,5,0.3333333333333333,0.0,0.0,0.16666666666666666,9.833333333333334,0.0,socializer
12,34,Orc,Warrior,161,70,80,10,287.0,0.8362369337979094,3,84,6.5,21.166666666666668,32.5,32.166666666666664,61.16666666666666,99.16666666666669,explorer
13,36,Orc,Shaman,101,70,70,0,945.0,0.0,2,76,23.66666666666667,13.333333333333336,48.5,53.16666666666666,200.8333333333333,169.83333333333334,explorer
14,37,Orc,Warrior,266,70,70,0,228.0,0.0,3,52,12.166666666666664,0.8333333333333334,65.83333333333333,65.16666666666667,126.16666666666669,91.66666666666669,explorer
15,38,Orc,Hunter,5,66,70,4,176.83333333333337,0.5428840716305372,1,40,23.16666666666667,24.66666666666667,6.5,8.166666666666666,58.33333333333334,53.66666666666666,explorer
16,39,Orc,Rogue,-1,60,60,0,2.5,0.0,1,1,0.0,0.0,0.0,0.0,2.5,0.0,socializer
17,44,Orc,Rogue,204,70,70,0,474.16666666666674,0.0,3,47,53.16666666666666,121.33333333333331,28.66666666666667,19.166666666666668,162.5,155.83333333333334,killer
