ID,race,class,guild,lvl_start,lvl_end,evolution,time_hours,lvl_speed,n_guilds,n_maps,n_city,n_pvp,map_beginner,map_low,map_medium,map_advanced
7,Orc,Hunter,282,54,71,17,109.16666666666667,3.7374045801526714,2,48,12.833333333333334,0.0,5.166666666666667,17.833333333333332,62.5,26.666666666666668
9,Orc,Hunter,79,70,70,0,456.5,0.0,2,79,27.833333333333332,92.33333333333333,33.666666666666664,64.66666666666667,84.0,43.333333333333336
10,Orc,Hunter,-1,29,61,32,112.33333333333333,6.83679525222552,1,41,15.833333333333334,0.0,9.333333333333334,50.833333333333336,36.166666666666664,0.16666666666666666
19,Orc,Rogue,65,69,70,1,500.1666666666667,0.04798400533155615,3,47,12.666666666666666,180.5,31.833333333333332,33.5,157.83333333333334,149.83333333333334
21,Orc,Hunter,205,70,70,0,252.16666666666666,0.0,2,79,12.166666666666666,21.166666666666668,26.833333333333332,35.666666666666664,86.33333333333333,69.66666666666667
22,Orc,Warrior,5,62,63,1,10.333333333333334,2.32258064516129,2,5,0.16666666666666666,0.0,0.0,0.0,9.666666666666666,2.5
23,Orc,Hunter,101,70,71,1,356.6666666666667,0.06728971962616821,2,65,9.166666666666666,141.33333333333334,41.5,40.166666666666664,71.66666666666667,72.66666666666667
27,Orc,Hunter,251,60,65,5,51.666666666666664,2.3225806451612905,2,18,2.8333333333333335,0.0,0.3333333333333333,1.0,44.333333333333336,24.666666666666668
28,Orc,Hunter,62,70,80,10,374.0,0.6417112299465241,2,51,70.0,195.83333333333334,1.8333333333333333,2.8333333333333335,10.166666666666666,74.0
29,Orc,Hunter,97,60,61,1,5.666666666666667,4.235294117647059,1,9,1.0,0.0,0.16666666666666666,0.6666666666666666,4.333333333333333,0.0
31,Orc,Shaman,62,70,70,0,452.0,0.0,3,65,80.5,10.166666666666666,30.0,37.666666666666664,58.5,42.833333333333336
32,Orc,Shaman,-1,60,61,1,11.333333333333334,2.1176470588235294,1,5,0.3333333333333333,0.0,0.0,0.16666666666666666,9.833333333333334,0.0
34,Orc,Warrior,161,70,80,10,287.0,0.8362369337979094,3,84,6.5,21.166666666666668,32.5,32.166666666666664,61.166666666666664,99.16666666666667
36,Orc,Shaman,101,70,70,0,945.0,0.0,2,76,23.666666666666668,13.333333333333334,48.5,53.166666666666664,200.83333333333334,169.83333333333334
37,Orc,Warrior,266,70,70,0,228.0,0.0,3,52,12.166666666666666,0.8333333333333334,65.83333333333333,65.16666666666667,126.16666666666667,91.66666666666667
38,Orc,Hunter,5,66,70,4,176.83333333333334,0.5428840716305372,1,40,23.166666666666668,24.666666666666668,6.5,8.166666666666666,58.333333333333336,53.666666666666664
39,Orc,Rogue,-1,60,60,0,2.5,0.0,1,1,0.0,0.0,0.0,0.0,2.5,0.0
44,Orc,Rogue,204,70,70,0,474.1666666666667,0.0,3,47,53.166666666666664,121.33333333333333,28.666666666666668,19.166666666666668,162.5,155.83333333333334
45,Orc,Hunter,103,70,70,0,313.3333333333333,0.0,2,50,3.1666666666666665,2.0,12.5,13.333333333333334,120.33333333333333,105.33333333333333
51,Orc,Hunter,169,70,70,0,28.833333333333332,0.0,1,26,0.8333333333333334,4.166666666666667,0.3333333333333333,0.6666666666666666,4.666666666666667,3.0
53,Orc,Hunter,5,70,80,10,360.5,0.6657420249653259,1,75,7.833333333333333,95.33333333333333,14.5,13.833333333333334,87.0,163.0
54,Orc,Warlock,-1,70,76,6,91.0,1.5824175824175826,2,57,3.3333333333333335,0.0,16.333333333333332,20.666666666666668,50.5,45.0
